English_Word,Amharic,Egyptian Arabic,Hausa,Levantine Arabic,Modern Standard Arabic,Sudanese Arabic,Vietnamese,Indonesian,Javanese,Tagalog,Kannada,Tamil,Telugu,Bengali,Bhojpuri,English,French,Gujarati,Hindi,Persian,Italian,Marathi,Portuguese,Russian,Spanish,German,Urdu,Punjabi,Japanese,Korean,Thai,Swahili,Mandarin,Wu,Yue,Turkish,Hungarian,Basque,Finnish,Estonian,Czech,Slovak,Hmong,Polish,Lingala,Igbo,Yoruba,Malay,Sundanese,Northern Uzbek,Algerian Arabic,Moroccan Arabic,Sindhi,Saraiki,Jin,Min Nan,Hakka,Xiang,Mongolian,Burmese,Odia,Nepali,Malayalam,Ukrainian,Greek
tree,ዛፍ (zaf),شجرة (shagara),اِيتَچِي (itace),شجرة (shajra),شَجَرَة (shajarah),شجرة (shajarah),𣘃 (cây),pohon,ꦮꦶꦠ꧀ (wit),ᜉᜓᜈᜓ (puno),ಮರ (mara),மரம் (maram),చెట్టు (ceṭṭu),গাছ (gach),गाँछ (gā̃chh),tree,arbre,ઝાડ (jhāḍ),पेड़ (peṛ),درخت (deraxt),albero,झाड (j̈hāḍ),árvore,де́рево (dérevo),árbol,Baum,درخت (darakht),رُکھ (rukh),木 (ki),나무 (namu),ต้นไม้ (tonmai),مْتِ (mti),樹 (shù),樹 (zy),樹 (syùh),آغاج (ağaç),𐲊𐲀 (fa),zuhaitz,puu,puu,strom,strom,𖬪𖬦𖬵 (ntoo),drzewo,nzeté,osisi,إِغِی (igi),ڤوكوق (pokok),ᮒᮀᮊᮜ᮪ (tangkal),дарахт (daraxt),شجرة (šəžra),شجرة (šəžṛa),وڻ (waṇu),وݨ (waṇ),樹 (xú),樹 (chhiū),樹 (su),树子 (sù-tsǐ),ᠮᠣᠳᠤ (modu),သစ်ပင် (thit-bin),ଗଛ (gacha),रूख (rūkh),മരം (maraṁ),дерево (derevo),δέντρο (déntro)
seed,ዘር (zär),حباية (ḥabbāya),اِيرِي (iri),بزرة (bizre),بَذْرَة (badhrah),بذرة (bizra),𬬊 (hạt),biji,ꦮꦶꦗꦶ (wiji),ᜊᜓᜆᜓ (buto),ಬೀಜ (bīja),விதை (vitai),విత్తనం (vittanaṁ),বীজ (bij),बीया (bīyā),seed,graine,બીજ (bīj),बीज (bīj),بذر (bazr),seme,बी (bī),semente,се́мя (sémja),semilla,Samen,بیج (bīj),بیج (bīj),種 (tane),씨 (ssi),เม็ด (met),مبيقُ (mbegu),種子 (zhǒngzi),籽 (tsy),種子 (júng jí),تخم (tohum),𐲚𐲀𐲍 (mag),hazi,siemen,seeme,semeno,semeno,𖬪𖬰𖬦𖬵 (noob),nasienie,mbóto,mkpụrụ,إِرُڠِنْ (irúgbìn),بيجي (biji),ᮞᮤᮊᮤ (siki),уруғ (urugʻ),زريعة (zərrīʿa),زريعة (zərrīʿa),ٻج (b̤iju),ٻج (b̤ij),子兒 (zì-er),籽 (chí),籽 (chṳ́),籽子 (zǐ-tsǐ),ᠦᠷ᠎ᠡ (üre),အစေ့ (a-ze),ମଞ୍ଜି (mañji),बीउ (bīu),വിത്ത് (vittŭ),насіння (nasinnja),σπόρος (spóros)
leaf,ቅጠል (qəṭäl),ورقة (waraʾa),ݢَنْيِي (ganye),ورقة (waraʾa),وَرَقَة (waraqah),ورقة (waraga),𦽬 (lá),daun,ꦒꦺꦴꦝꦺꦴꦁ (godhong),ᜇᜑᜓᜈ᜔ (dahon),ಎಲೆ (ele),இலை (ilai),ఆకు (āku),পাতা (pata),पात (pāt),leaf,feuille,પાંદડું (pā̃dḍũ),पत्ता (pattā),برگ (barg),foglia,पान (pān),folha,лист (list),hoja,Blatt,پتا (pattā),پَتّا (pattā),葉 (ha),잎 (ip),ใบไม้ (baimai),جَانِ (jani),葉子 (yèzi),葉爿 (yi be),葉 (yìhp),ياپراق (yaprak),𐲘𐲈𐲬𐲋𐲘 (levél),hosto,lehti,leht,list,list,𖬪𖬵𖬦𖬵 (nplooj),liść,lokásá,akwụkwọ osisi,عَٜوَٜی (ewé),داءون (daun),ᮓᮅᮔ᮪ (daun),барг (barg),ورقة (wərqa),ورقة (wəṛqa),پن (panu),پتّر (pattar),葉子 (iêqzi),葉 (hio̍h),葉 (ya̍p),叶子 (yè-tsǐ),ᠨᠠᠪᠴᠢ (nabchi),အရွက် (a-ywet),ପତ୍ର (patra),पात (pāt),ഇല (ila),листок (lystok),φύλλο (fýllo)
root,ሥር (sər),جدر (gidr),سَيْوَا (saiwa),شرش (shirsh),جِذْر (jidhr),جذر (jizr),𣎚 (rễ),akar,ꦲꦺꦴꦪꦺꦴꦢ꧀ (oyod),ᜄᜆ᜔ (ugat),ಬೇರು (bēru),வேர் (vēr),వేరు (vēru),শিকড় (śikoṛ),जड़ (jaṛ),root,racine,મૂળ (mūḷ),जड़ (jaṛ),ریشه (riše),radice,मूळ (mūḷ),raiz,ко́рень (kórenʹ),raíz,Wurzel,جڑ (jaṛ),جڑھ (jaṛh),根 (ne),뿌리 (ppuri),รากไม้ (rakmai),مْزِيزِ (mzizi),根 (gēn),根 (kén),根 (gān),كوك (kök),𐲎𐲟𐲗𐲋𐲣 (gyökér),erro,juuri,juur,kořen,koreň,𖬖𖬲𖬚 (cag),korzeń,ntína,mgbọrọgwụ,ڠُـواْنْڠُـواْ (gbòǹgbò),اكر (akar),ᮃᮊᮁ (akar),илдиз (ildiz),عرق (ʿrəq),عرق (ʿṛəq),پاڙ (pāṛa),پاڑ (pāṛ),根 (gēng),根 (kin),根 (kên),根 (kēn),ᠦᠨᠳᠦᠰᠦ (ündüsü),အမြစ် (a-myit),ଚେର (cera),जरा (jarā),വേര് (vērŭ),корінь (korin’),ρίζα (ríza)
bark (of tree),ቅርፊት (qərfət),قشرة (ʾishra),ٻَوْ (ɓawo),قشرة (ʾishre),قِشْرَة (qishrah),قشرة (gishrah),𥿺 (vỏ),pepagan,ꦧꦧꦏꦤ꧀ (babakan),ᜊᜎᜆ᜔ (balat),ತೊಗಟೆ (togaṭe),பட்டை (paṭṭai),బెరడు (beraḍu),ছাল (chal),छाल (chāl),bark,écorce,છાલ (chāl),छाल (chāl),پوست (pust),corteccia,साल (sāl),casca,кора́ (korá),corteza,Borke,چھال (chāl),سَکّ (sakk),樹皮 (juhi),껍질 (kkeopjil),เปลือกไม้ (plueakmai),قُومِي (gome),樹皮 (shùpí),樹皮 (zy bi),樹皮 (syùh pèih),قبوق (kabuk),𐲗𐲋𐲣𐲈𐲍 (kéreg),azal,kuori,koor,kůra,kôra,𖬔𖬰𖬝𖬵 (tawv),kora,lomposo,akpụkpọ osisi,عَٜپُـواْ إِغِی (èpo igi),كوليت كايو (kulit kayu),ᮊᮥᮜᮤᮒ᮪ ᮒᮀᮊᮜ᮪ (kulit tangkal),пўстлоқ (poʻstloq),قشرة (qəšra),قشرة (qəšṛa),ڇال (chāla),چھلڑ (chillaṛ),樹皮 (xú pī),樹皮 (chhiū-phôe),樹皮 (su-phì),樹皮 (sù-pí),ᠬᠣᠯᠲᠠᠰᠤ (kholtasu),အခေါက် (a-gauk),ଛାଲି (chāli),बोक्रा (bokrā),മരത്തോൽ (marattōl),кора (kora),φλοιός (floiós)
skin,ቆዳ (qoda),جلد (gild),فَتَا (fata),جلد (jild),جِلْد (jild),جلد (jild),皮 (da),kulit,ꦏꦸꦭꦶꦠ꧀ (kulit),ᜊᜎᜆ᜔ (balat),ಚರ್ಮ (carma),தோல் (tōl),తోలు (tōlu),চামড়া (camṛa),चमड़ी (chamṛī),skin,peau,ચામડી (cāmḍī),चमड़ी (camṛī),پوست (pust),pelle,त्वचा (tvacā),pele,ко́жа (kóža),piel,Haut,جلد (jild),چمڑی (camṛī),皮 (kawa),피부 (pibu),หนัง (nang),نقُوزِ (ngozi),皮 (pí),皮 (bi),皮 (pèih),درى (deri),𐲂𐲜𐲣 (bőr),azal,iho,nahk,kůže,koža,𖬔𖬰𖬝𖬵 (tawv),skóra,lomposo,akpụkpọ,أَوُـو (awọ),كوليت (kulit),ᮊᮥᮜᮤᮒ᮪ (kulit),тери (teri),جلدة (žəlda),جلدة (žəlda),چمڙي (camaṛī),کھل (khal),皮 (pī),皮 (phôe),皮 (phì),皮 (pí),ᠠᠷᠢᠰᠤ (arisu),အရေပြား (a-ye-bya),ଚମଡ଼ା (camaṛā),छाला (chālā),തൊലി (toli),шкіра (škira),δέρμα (dérma)
flesh,ሥጋ (səga),لحمة (laḥma),نَمَا (nama),لحم (laḥm),لَحْم (laḥm),لحم (laḥm),𦧘 (thịt),daging,ꦢꦒꦶꦁ (daging),ᜎ᜙ᜈ᜔ (laman),ಮಾಂಸ (māṃsa),மாமிசம் (māmicam),మాంసం (māṁsaṁ),মাংস (maṅśo),मांस (māns),flesh,viande,માંસ (mā̃s),माँस (mā̃s),گوشت (gušt),carne,मास (mās),carne,мя́со (mjáso),carne,Fleisch,گوشت (gosht),ماس (mās),肉 (shishi),살 (sal),เนื้อ (nuea),ڽَمَا (nyama),肉 (ròu),肉 (gnioq),肉 (yùhk),ات (et),𐲏𐲩𐲤 (hús),haragi,liha,liha,maso,mäso,𖬇𖬵𖬦𖬵 (nqaij),mięso,monsuni,anụahụ,عَِرَنْ (ẹran),داݢيڠ (daging),ᮓᮌᮤᮀ (daging),эт (et),لحم (lḥəm),لحم (lḥəm),ماس (māsu),ماس (mās),肉 (ruêq),肉 (bah),肉 (ngiu̍k),肉 (lòu),ᠮᠠᠬ᠎ᠠ (makha),အသား (a-da),ମାଂସ (mā̃sa),मासु (māsu),ഇറച്ചി (iṟacci),м’ясо (m’jaso),κρέας (kréas)
blood,ደም (däm),دم (damm),جِنِي (jini),دم (damm),دَم (dam),دم (damm),𧖱 (máu),darah,ꦒꦼꦠꦶꦃ (getih),ᜇᜓᜄᜓ (dugo),ರಕ್ತ (rakta),இரத்தம் (rattam),రక్తము (raktamu),রক্ত (rokto),लोहू (lohū),blood,sang,લોહી (lohī),ख़ून (xūn),خون (xun),sangue,रक्त (rakta),sangue,кровь (krovʹ),sangre,Blut,خون (xūn),لہو (lahū),血 (chi),피 (pi),เลือด (lueat),دَمُ (damu),血 (xiě),血 (shiuq),血 (hyut),قان (kan),𐲬𐲋𐲣 (vér),odol,veri,veri,krev,krv,𖬖𖬰𖬞 (ntshav),krew,makilá,ọbara,عَِجَِـی (ẹ̀jẹ̀),داره (darah),ᮌᮨᮒᮤᮂ (getih),қон (qon),دم (dəmm),دم (dəmm),رت (ratu),رتّ (ratt),血 (xuěq),血 (hoeh),血 (hiet),血 (qiá),ᠴᠢᠰᠤ (chisu),သွေး (thwe),ରକ୍ତ (rakta),रगत (ragat),ചോര (cōra),кров (krov),αίμα (aíma)
bone,አጥንት (aṭənt),عضم (ʿaḍm),قَشِي (ƙashi),عضم (ʿaḍm),عَظْم (ʿaẓm),عضم (ʿaḍm),𩩩 (xương),tulang,ꦧꦭꦸꦁ (balung),ᜊᜓᜆᜓ (buto),ಎಲುಬು (elubu),எலும்பு (elumpu),ఎముక (emuka),হাড় (haṛ),हड्डी (haḍḍī),bone,os,હાડકું (hāḍkũ),हड्डी (haḍḍī),استخوان (ostoxân),osso,हाड (hāḍ),osso,кость (kostʹ),hueso,Knochen,ہڈی (haḍḍī),ہڈی (haḍḍī),骨 (hone),뼈 (ppyeo),กระดูก (kraduk),مفُپَا (mfupa),骨頭 (gǔtou),骨頭 (kueq deu),骨 (gwāt),كميك (kemik),𐲄𐲝𐲛𐲦 (csont),hezur,luu,kont,kost,kosť,𖬪𖬰𖬤𖬵-𖬖𖬚 (pob-txha),kość,monkúwa,ọkpụkpụ,عَٜیغُنْ (eegun),تولڠ (tulang),ᮒᮥᮜᮀ (tulang),суяк (suyak),عظم (ʿḍəm),عضم (ʿḍəm),هڏو (had̤o),ہݙّی (had̤d̤ī),骨頭 (gǔeq tōu),骨 (kut),骨 (kut),骨头 (kū-tóu),ᠶᠠᠰᠤ (yasu),အရိုး (a-yo),ହାଡ଼ (hāṛa),हाड (hāḍ),എല്ല് (ellŭ),кістка (kistka),κόκαλο (kókalo)
grease/fat,ስብ (səb),دهن (dihn),قِيبَا (ƙiba),دهن (dihin),دُهْن (duhn),دهن (dihn),𦘫 (mỡ),lemak,ꦒꦗꦶꦃ (gajih),ᜆᜊ (taba),ಕೊಬ್ಬು (kobbu),கொழுப்பு (koḻuppu),కొవ్వు (kovvu),চর্বি (corbi),चरबी (charbī),grease,graisse,ચરબી (carbī),चरबी (carbī),چربو (čarbu),grasso,चरबी (carbī),gordura,жир (žir),grasa,Fett,چربی (carbī),چربی (carbī),脂 (abura),기름 (gireum),ไขมัน (khaiman),مَفُتَا (mafuta),脂肪 (zhīfáng),油 (yeu),脂肪 (jī fōng),ياغ (yağ),𐲯𐲒𐲣 (zsír),gantz,rasva,rasv,tuk,tuk,𖬪𖬵𖬤𖬵 (roj),tłuszcz,mafúta,abụba,عُورَا (ọ̀rá),لمق (lemak),ᮌᮏᮤᮂ (gajih),ёғ (yogʻ),شحم (šḥəm),شحم (šḥəm),چرٻي (carb̤ī),چربی (carbī),油 (iōu),油 (iû),油 (yù),油 (yóu),ᠲᠣᠰᠤ (tosu),အဆီ (a-zi),ଚର୍ବି (carbi),बोसो (boso),കൊഴുപ്പ് (koḻuppŭ),жир (žyr),λίπος (lípos)
egg,እንቁላል (ənqulal),بيضة (bēḍa),قْوَيْ (ƙwai),بيضة (bēḍa),بَيْضَة (bayḍah),بيضة (bēḍah),𠨡 (trứng),telur,ꦲꦼꦤ꧀ꦝꦺꦴꦒ꧀ (endhog),ᜁᜆ᜔ᜎᜓᜄ᜔ (itlog),ಮೊಟ್ಟೆ (moṭṭe),முட்டை (muṭṭai),గుడ్డు (guḍḍu),ডিম (ḍim),अंडा (aṇḍā),egg,œuf,ઈંડું (ī̃ḍũ),अंडा (aṇḍā),تخم (toxm),uovo,अंडं (aṇḍaṁ),ovo,яйцо́ (jajcó),huevo,Ei,انڈہ (anḍā),آنڈا (āṇḍā),卵 (tamago),알 (al),ไข่ (khai),يَايِ (yai),蛋 (dàn),蛋 (de),蛋 (dáan),يومورطه (yumurta),𐲦𐲝𐲔𐲁𐲤 (tojás),arrautza,muna,muna,vejce,vajce,𖬖𖬒 (qe),jajko,likeí,akwa,عَِیِنْ (ẹyin),تلور (telur),ᮈᮔ᮪ᮓᮧᮌ᮪ (endog),тухум (tuxum),بيضة (bīḍa),بيضة (bīḍa),آنو (āno),آݨا (āṇā),蛋 (dán),卵 (nn̄g),卵 (lón),蛋 (tàn),ᠥᠨᠳᠦᠭᠡ (öndüge),ဥ (u),ଅଣ୍ଡା (aṇḍā),फुल (phul),മുട്ട (muṭṭa),яйце (jajce),αβγό (avgó)
horn,ቀንድ (qänd),قرن (qarn),قَهُو (ƙaho),قرن (ʾarn),قَرْن (qarn),قرن (garn),角 (sừng),tanduk,ꦱꦸꦔꦸ (sungu),ᜐᜓᜅᜌ᜔ (sungay),ಕೊಂಬು (kombu),கொம்பு (kompu),కొమ్ము (kommu),শিং (śiṅ),सींघ (sīṅgh),horn,corne,શીંગડું (śī̃gḍũ),सींग (sīṅg),شاخ (šâx),corno,शिंग (śiṅga),chifre,рог (rog),cuerno,Horn,سینگ (sīng),سِنگ (siṅg),角 (tsuno),뿔 (ppul),เขา (khao),پيمبِي (pembe),角 (jiǎo),角 (koq),角 (gok),بوينوز (boynuz),𐲥𐲀𐲣𐲬 (szarv),adar,sarvi,sarv,roh,roh,𖬌𖬰𖬝 (kub),róg,liséké,mpi,إِوُـواْ (ìwo),تندوق (tanduk),ᮒᮔ᮪ᮓᮥᮊ᮪ (tanduk),шох (shox),قرن (qərn),قرن (qəṛn),سڱ (siṅu),سنگ (sing),角 (jiăoq),角 (kak),角 (kok),角 (kǒ),ᠡᠪᠡᠷ (eber),ချို (cho),ଶିଙ୍ଗ (śiṅga),सिङ (siṅ),കൊമ്പ് (kompŭ),ріг (rih),κέρατο (kérato)
tail,ጅራት (ğərat),ديل (dīl),وُصِيَا (wutsiya),دنب (danab),ذَنَب (dhanab),ديل (dīl),𡳪 (đuôi),ekor,ꦧꦸꦤ꧀ꦠꦸꦠ꧀ (buntut),ᜊᜓᜈ᜔ᜆᜓᜆ᜔ (buntot),ಬಾಲ (bāla),வால் (vāl),తోక (tōka),লেজ (lej),पूँछ (pū̃chh),tail,queue,પૂંછડી (pū̃chḍī),पूँछ (pū̃ch),دم (dom),coda,शेपूट (śepūṭ),cauda,хвост (xvost),cola,Schwanz,پونچھ (pūnch),پُوچھَل (pūchal),尾 (o),꼬리 (kkori),หาง (hang),مكِيَا (mkia),尾巴 (wěiba),尾巴 (mi pó),尾 (méih),قويروق (kuyruk),𐲊𐲀𐲣𐲝𐲖 (farok),buztan,häntä,saba,ocas,chvost,𖬌𖬞 (tw),ogon,mokíla,ọdụ,إِرُ (ìrù),ايكور (ekor),ᮘᮥᮔ᮪ᮒᮥᮒ᮪ (buntut),қуйруқ (quyruq),ديل (dīl),قزيبة (qzība),پڇ (puchu),پوچھڑ (pūchaṛ),尾巴 (yùba),尾 (bóe),尾 (mí),尾巴 (yǐ-bā),ᠰᠡᠭᠦᠯ (segül),အမြီး (a-mi),ଲାଞ୍ଜ (lāñja),पुच्छर (pucchar),വാൽ (vāl),хвіст (xvist),ουρά (ourá)
feather,ላባ (laba),ريشة (rīsha),ݢَشِي (gashi),ريشة (rīshe),رِيشَة (rīshah),ريش (rish),羽 (lông),bulu,ꦮꦸꦭꦸ (wulu),ᜊᜎᜑᜒᜊᜓ (balahibo),ಗರಿ (gari),இறகு (iṟaku),ఈక (īka),পালক (pālok),पर (par),feather,plume,પીંછું (pī̃chũ),पंख (paṅkh),پر (par),penna,पीस (pīs),pena,перо́ (peró),pluma,Feder,پر (par),کھنبھ (khambh),羽 (hane),깃털 (gitteol),ขนนก (khon nok),اُڽُويَا (unyoya),羽毛 (yǔmáo),羽毛 (yu mau),羽毛 (yúh mòuh),توی (tüy),𐲦𐲝𐲘𐲘 (toll),luma,sulka,sulg,pero,pero,𖬔𖬰𖬦𖬵 (plaub),pióro,lonsálá,ụbụbá,إِیَِـی (ìyẹ́),بولو (bulu),ᮘᮥᮜᮥ (bulu),пат (pat),ريشة (rīša),ريشة (rīša),کنڀ (khambhu),کھنبھ (khambh),毛 (māo),鳥毛 (chiáu-mô͘),鳥毛 (tiáu-mò),毛 (máo),ᠥᠳᠦ (ödü),အမွေး (a-mwe),ପର (para),प्वाँख (pwā̃kh),തൂവൽ (tūval),перо (pero),φτερό (fteró)
hair,ፀጉር (ṣägur),شعر (shaʿr),سُومَا (suma),شعر (shaʿr),شَعْر (shaʿr),شعر (shaʿr),髮 (tóc),rambut,ꦫꦩ꧀ꦧꦸꦠ꧀ (rambut),ᜊᜓᜑᜓᜃ᜔ (buhok),ಕೂದಲು (kūdalu),முடி (muṭi),వెంట్రుకలు (veṇṭrukalu),চুল (cul),केस (kes),hair,cheveux,વાળ (vāḷ),बाल (bāl),مو (mu),capello,केस (kes),cabelo,во́лос (vólos),pelo,Haar,بال (bāl),والؕ (vāḷ),髪 (kami),머리카락 (meorikarak),ผม (phom),ڽويلِي (nywele),頭髮 (tóufa),頭髮 (deu faq),頭髮 (tàuh faat),صاچ (saç),𐲏𐲀𐲔 (haj),ile,hius,juuksed,vlasy,vlasy,𖬔𖬰𖬦𖬵-𖬔𖬦𖬵 (plaub-hau),włosy,nsúki,ntutu isi,إِرُنْ (irun),رمبوت (rambut),ᮘᮥᮅᮊ᮪ (buuk),соч (soch),شعر (šʿər),شعر (šʿər),وار (wāru),وال (wāl),頭髮 (tōu făq),頭毛 (thâu-mô͘),頭毛 (thèu-mò),头发 (tóu-fā),ᠦᠰᠦ (üsü),ဆံပင် (hsan-bin),ବାଳ (bāḷa),कपाल (kapāl),മുടി (muṭi),волосся (volossja),μαλλιά (malliá)
head,ራስ (ras),راس (rās),كَيْ (kai),راس (rās),رَأْس (raʾs),راس (rās),𦠘 (đầu),kepala,ꦱꦶꦫtext (sirah),ᜓᜎᜓ (ulo),ತಲೆ (tale),தலை (talai),తల (tala),মাথা (matha),मूँड़ी (mūṅṛī),head,tête,માથું (māthũ),सिर (sir),سر (sar),testa,डोकं (ḍokaṁ),cabeça,голова́ (golová),cabeza,Kopf,سر (sar),سِر (sir),頭 (atama),머리 (meori),หัว (hua),كِيچوَا (kichwa),頭 (tóu),頭 (deu),頭 (tàuh),باش (baş),𐲊𐲈𐲔 (fej),buru,pää,pea,hlava,hlava,𖬔𖬰𖬝𖬵-𖬔𖬦 (taub-hau),głowa,motó,isi,عُواْرِی (orí),كڤالا (kepala),ᮞᮤᮛᮂ (sirah),бош (bosh),راس (rās),راس (ṛās),مٿو (matho),سر (sir),頭 (tōu),頭 (thâu),頭那 (thèu-nâ),脑壳 (lǎo-kó),ᠲᠣᠯᠤᠭᠠᠢ (tolughai),ခေါင်း (hkaung),ମୁଣ୍ଡ (muṇḍa),टाउको (ṭāuko),തല (tala),голова (holova),κεφάλι (kefáli)
ear,ጆሮ (ğoro),ودن (widn),كُنْنِي (kunne),دان (dān),أُذُن (udhun),أضان (aḍān),耳 (tai),telinga,ꦏꦸꦥꦶꦁ (kuping),ᜆᜁᜅ (tainga),ಕಿವಿ (kivi),காது (kātu),చెవి (cevi),কান (kan),कान (kān),ear,oreille,કાન (kān),कान (kān),گوش (guš),orecchio,कान (kān),orelha,у́хо (úxo),oreja,Ohr,کان (kān),کن (kann),耳 (mimi),귀 (gwi),หู (hu),سِيكِيُو (sikio),耳朵 (ěrduo),耳朵 (gni tú),耳仔 (yíh jái),قولاق (kulak),𐲊𐲪𐲘 (fül),belarri,korva,kõrv,ucho,ucho,𖬪𖬰𖬤𖬵-𖬖𖬰𖬝𖬵 (pob-ntseg),ucho,litói,ntị,عَٜتِی (etí),تليڠا (telinga),ᮎᮩᮜᮤ (ceuli),қулоқ (quloq),ودن (wdən),وذن (wdən),ڪن (kanu),کن (kan),耳朵 (èrduo),耳仔 (hīⁿ-á),耳公 (ngí-kûng),耳朵 (ê-tǒ),ᠴᠢᠬᠢ (chiki),နား (na),କାନ (kāna),कान (kān),ചെവി (cevi),вухо (vuxo),αφτί (aftí)
eye,ዓይን (ayn),عين (ʿēn),اِدُو (ido),عين (ʿēn),عَيْن (ʿayn),عين (ʿēn),𦮹 (mắt),mata,ꦩꦿꦶꦥꦠ꧀ (mripat),᜙ᜆ (mata),ಕಣ್ಣು (kaṇṇu),கண் (kaṇ),కన్ను (kannu),চোখ (cōkh),आँख (ā̃kh),eye,œil,આંખ (ā̃kha),आँख (ā̃kh),چشم (češm),occhio,डोळा (ḍoḷā),olho,глаз (glaz),ojo,Auge,آنکھ (ā̃kh),اکھ (akkha),目 (me),눈 (nun),ตา (ta),جِيچُو (jicho),眼睛 (yǎnjing),眼睛 (nge cín),眼 (ngáahn),گوز (göz),𐲥𐲈𐲚 (szem),begi,silmä,silm,oko,oko,𖬪𖬵𖬒-𖬪𖬰𖬦 (qhov-muag),oko,líso,anya,عُواْجُ (ojú),مات (mata),ᮕᮔᮧᮔ᮪ (panon),кўз (koʻz),عين (ʿīn),عين (ʿīn),اک (akhi),اکھ (akkh),眼睛 (yàng jiāng),目睭 (ba̍k-chiu),目珠 (mu̍k-tsû),眼睛 (ǎn-jīn),ᠨᠢᠳᠦ (nidü),မျက်စိ (myet-si),ଆଖି (ākhi),आँखा (ā̃khā),കണ്ണ് (kaṇṇŭ),око (oko),μάτι (máti)
nose,አፍንጫ (afənč̣a),مناخير (manākhīr),هَنْچِي (hanci),منخار (minkhār),أَنْف (anf),نخرة (nukharah),𦠄 (mũi),hidung,ꦲꦶꦫꦸꦁ (irung),ᜁᜎᜓᜅ᜔ (ilong),ಮೂಗು (mūgu),மூக்கு (mūkku),ముక్కు (mukku),নাক (nak),नाक (nāk),nose,nez,નાક (nāk),नाक (nāk),بینی (bini),naso,नाक (nāk),nariz,нос (nos),nariz,Nase,ناک (nāk),نَک (nakka),鼻 (hana),코 (ko),จมูก (chamuk),پُوأ (pua),鼻子 (bízi),鼻頭 (biq deu),鼻 (bèih),بورون (burun),𐲝𐲣𐲣 (orr),sudur,nenä,nina,nos,nos,𖬪𖬵𖬒-𖬌𖬵𖬞 (qhov-ntswg),nos,zólo,imi,إِمُو (imú),هيدوڠ (hidung),ᮄᮛᮥᮀ (irung),бурун (burun),نيف (nīf),نيف (nīf),نڪ (naku),نک (nakk),鼻子 (pīzi),鼻 (phīⁿ),鼻公 (phi-kûng),鼻子 (pí-tsǐ),ᠬᠠᠮᠠᠷ (khamar),နှာခေါင်း (hna-gaung),ନାକ (nāka),नाक (nāk),മൂക്ക് (mūkkŭ),ніс (nis),μύτη (mýti)
mouth,አፍ (af),بق (boqq),بَكِي (baki),تم (tumm),فَم (fam),خشم (khashum),命 (miệng),mulut,ꦕꦁꦏꦼꦩ꧀ (cangkem),ᜊᜒᜊᜒᜄ᜔ (bibig),ಬಾಯಿ (bāyi),வாய் (vāy),నోరు (nōru),মুখ (mukh),मुँह (mũh),mouth,bouche,મોં (mõ),मुँह (mũh),دهان (dahân),bocca,तोंड (toṇḍ),boca,рот (rot),boca,Mund,منہ (munh),مُنہ (mū̃h),口 (kuchi),입 (ip),ปาก (pak),كِيڽوَا (kinywa),嘴巴 (zuǐba),嘴巴 (tsy pó),嘴 (jéui),آغز (ağız),𐲥𐲁𐲔 (száj),aho,suu,suu,ústa,ústa,𖬪𖬵𖬒-𖬔𖬵𖬦𖬵 (qhov-ncauj),usta,mɔnɔkɔ,ọnụ,عَِنُ (ẹnu),مولوت (mulut),ᮞᮥᮍᮥᮒ᮪ (sungut),оғиз (ogʻiz),فم (fəm),فم (fəm),وات (wātu),منہہ (mū̃h),嘴 (zuì),嘴 (chhùi),嘴 (tsói),嘴巴 (zuǐ-pā),ᠠᠮᠠ (ama),ပါးစပ် (pa-zat),ପାଟି (pāṭi),मुख (mukh),വായ (vāya),рот (rot),στόμα (stóma)
tooth,ጥርስ (ṭərs),سنة (sinna),هَقُورِي (haƙori),سن (sinn),سِنّ (sinn),سن (sinn),𪘵 (răng),gigi,ꦲꦸꦤ꧀ꦠꦸ (untu),ᜅᜒᜉᜒᜈ᜔ (ngipin),ಹಲ್ಲು (hallu),பல் (pal),పన్ను (pannu),দাঁত (dãt),दाँत (dā̃t),tooth,dent,દાંત (dā̃t),दाँत (dā̃t),دندان (dandân),dente,दात (dāt),dente,зуб (zub),diente,Zahn,دانت (dānt),دند (dand),歯 (ha),이 (i),ฟัน (fan),جِينُو (jino),牙齒 (yáchǐ),牙齒 (nga tshy),牙 (ngàah),ديش (diş),𐲊𐲝𐲍 (fog),hortz,hammas,hammas,zub,zub,𖬬𖬰𖬕𖬵 (hniav),ząb,lino,eze,عَیِنْ (eyín),ݢيݢي (gigi),ᮠᮥᮔ᮪ᮒᮥ (huntu),тиш (tish),سنة (sənna),سنة (sənna),ڏند (d̤andu),ݙند (d̤and),牙 (yā),齒 (khí),牙齒 (ngà-chhṳ́),牙齿 (yá-cǐ),ᠰᠢᠳᠦ (sidü),သွား (thwa),ଦାନ୍ତ (dānta),दाँत (dā̃t),പല്ല് (pallŭ),зуб (zub),δόντι (dónti)
